YEAR,MONTH,OP_UNIQUE_CARRIER,ORIGIN,DEST,ARR_DELAY,DEP_DELAY,CANCELLED
2019,1,DL,SEA,MCO,0,11,0
2019,1,AA,LAX,SEA,0,0,0
2019,1,AA,SEA,DFW,13,14,0
2019,1,DL,SFO,SEA,0,0,0
2019,1,DL,ATL,ORD,11,8,0
2019,1,DL,ATL,SEA,2,16,0
2019,1,AA,MCO,JFK,1,0,0
2019,1,AA,SEA,DFW,0,12,0
2019,1,AA,DFW,DEN,7,0,0
2019,1,WN,ORD,MCO,0,16,0
2019,1,DL,ORD,ATL,7,6,0
2019,1,WN,ATL,SEA,0,15,0
2019,1,AA,ORD,JFK,8,0,0
2019,1,AA,DFW,DEN,15,7,0
2019,1,WN,LAX,JFK,6,5,0
2019,1,DL,SEA,LAX,4,2,0
2019,1,WN,LAX,SFO,4,3,0
2019,1,UA,JFK,ATL,4,28,0
2019,1,AA,ATL,JFK,17,31,0
2019,1,UA,ATL,LAX,8,13,0
2019,1,DL,DFW,SFO,10,8,0
2019,1,WN,ATL,DEN,0,13,0
2019,1,DL,LAX,SFO,8,11,0
2019,1,DL,JFK,MCO,13,16,0
2019,1,AA,SFO,SEA,0,1,0
2019,1,WN,ORD,ATL,0,6,0
2019,1,UA,DFW,SFO,11,0,0
2019,1,DL,MCO,LAX,26,0,0
2019,1,AA,JFK,SEA,0,1,0
2019,1,AA,DFW,JFK,11,4,0
2019,1,AA,ORD,DFW,1,10,0
2019,1,DL,LAX,DFW,0,14,0
2019,1,UA,ORD,DEN,12,13,0
2019,1,WN,MCO,LAX,0,0,0
2019,1,AA,DEN,DFW,8,6,0
2019,1,AA,SEA,ORD,6,0,0
2019,1,DL,ORD,SEA,0,3,0
2019,1,AA,DEN,MCO,14,11,0
2019,1,WN,SFO,ATL,13,0,0
2019,1,AA,SFO,ATL,4,4,0
2019,1,WN,DFW,SFO,5,0,0
2019,1,AA,SEA,MCO,8,4,0
2019,1,AA,DFW,ORD,1,7,0
2019,1,UA,SEA,MCO,6,8,0
2019,1,UA,LAX,JFK,0,5,0
2019,1,UA,SEA,MCO,12,2,0
2019,1,DL,JFK,SFO,11,0,0
2019,1,DL,JFK,SFO,10,24,0
2019,1,AA,LAX,MCO,0,7,0
2019,1,WN,ORD,DFW,8,3,0
2019,1,WN,DFW,JFK,10,0,0
2019,1,UA,DEN,SEA,0,20,0
2019,1,AA,ATL,DFW,0,4,0
2019,1,UA,LAX,SFO,5,7,0
2019,1,AA,JFK,LAX,13,0,0
2019,1,UA,SEA,ORD,0,0,0
2019,1,DL,ORD,JFK,9,15,0
2019,1,DL,ATL,SEA,4,6,0
2019,1,DL,DFW,DEN,0,2,0
2019,1,WN,SFO,JFK,22,16,0
2019,1,AA,LAX,SEA,0,10,0
2019,1,DL,SFO,DEN,0,9,0
2019,1,AA,ORD,MCO,10,23,0
2019,1,AA,DFW,DEN,6,19,0
2019,1,WN,DEN,ORD,14,8,0
2019,1,AA,DFW,SEA,11,4,0
2019,1,DL,SFO,ATL,10,13,0
2019,1,WN,SEA,LAX,24,6,0
2019,1,UA,SEA,ORD,7,0,0
2019,1,UA,MCO,LAX,0,4,0
2019,1,DL,DFW,SFO,22,2,0
2019,1,WN,DFW,LAX,16,5,0
2019,1,WN,JFK,SFO,0,4,0
2019,1,AA,ATL,MCO,0,6,0
2019,1,WN,SEA,ORD,5,4,0
2019,1,DL,SFO,MCO,5,15,0
2019,1,WN,DEN,SFO,22,0,0
2019,1,AA,MCO,DEN,13,12,0
2019,1,AA,DFW,LAX,0,0,0
2019,1,UA,JFK,LAX,8,19,0
2019,1,AA,DEN,JFK,4,4,0
2019,1,WN,MCO,DFW,4,0,0
2019,1,DL,ATL,SFO,0,0,0
2019,1,DL,MCO,JFK,13,0,0
2019,1,DL,MCO,JFK,13,0,0
2019,1,UA,JFK,DEN,12,2,0
2019,1,AA,JFK,MCO,7,1,0
2019,1,WN,LAX,JFK,9,9,0
2019,1,DL,ORD,SFO,11,0,0
2019,1,AA,JFK,SFO,0,0,0
2019,1,AA,JFK,DEN,24,0,0
2019,1,DL,MCO,DEN,0,6,0
2019,1,WN,ORD,SEA,8,8,0
2019,1,DL,LAX,JFK,9,11,0
2019,1,WN,DFW,ORD,3,4,0
2019,1,UA,ORD,MCO,2,14,0
2019,1,AA,SFO,JFK,5,6,0
2019,1,UA,JFK,LAX,0,11,0
2019,1,AA,SFO,JFK,4,4,0
2019,1,WN,DEN,ORD,10,0,0
2019,1,AA,JFK,DEN,9,1,0
2019,1,UA,LAX,SFO,11,12,0
2019,1,AA,SFO,LAX,0,14,0
2019,1,UA,DEN,DFW,5,7,0
2019,1,UA,ATL,JFK,4,27,0
2019,1,AA,DEN,JFK,1,0,0
2019,1,WN,SFO,SEA,0,0,0
2019,1,UA,ATL,ORD,0,0,0
2019,1,WN,SEA,SFO,0,6,0
2019,1,UA,ATL,ORD,6,13,0
2019,1,AA,MCO,SFO,17,4,0
2019,1,AA,SEA,ORD,0,3,0
2019,1,WN,SFO,LAX,0,20,0
2019,1,UA,MCO,ATL,0,11,0
2019,1,UA,MCO,SFO,0,2,0
2019,1,UA,SEA,DFW,0,4,0
2019,1,DL,ATL,MCO,8,0,0
2019,1,WN,SFO,MCO,13,9,0
2019,1,WN,ATL,DEN,22,14,0
2019,1,AA,SEA,DFW,12,5,0
2019,1,AA,SEA,LAX,21,5,0
2019,1,AA,ATL,SFO,1,8,0
2019,1,WN,DEN,LAX,13,13,0
2019,1,UA,SEA,DFW,0,0,0
2019,1,DL,MCO,LAX,19,3,0
2019,1,UA,SEA,ORD,0,6,0
2019,1,DL,DFW,MCO,0,0,0
2019,1,DL,DFW,JFK,9,12,0
2019,1,AA,ATL,MCO,13,7,0
2019,1,AA,ATL,ORD,8,13,0
2019,1,WN,LAX,JFK,1,1,0
2019,1,DL,DEN,JFK,2,14,0
2019,1,DL,ORD,MCO,0,11,0
2019,1,DL,SEA,SFO,6,0,0
2019,1,UA,DEN,LAX,0,0,0
2019,1,AA,DFW,LAX,0,10,0
2019,1,WN,SEA,DEN,9,8,0
2019,1,UA,SEA,DFW,7,6,0
2019,1,UA,JFK,ORD,3,0,0
2019,1,UA,DFW,LAX,9,18,0
2019,1,UA,DEN,ORD,3,14,0
2019,1,DL,SEA,DFW,1,8,0
2019,1,WN,ORD,DEN,7,5,0
2019,1,WN,SFO,JFK,6,0,0
2019,1,DL,MCO,LAX,12,0,0
2019,1,AA,ORD,SEA,11,2,0
2019,1,AA,JFK,ATL,0,4,0
2019,1,AA,SFO,ORD,1,3,0
2019,1,UA,DEN,ORD,6,10,0
2019,1,WN,ORD,ATL,4,3,0
2019,1,UA,JFK,MCO,0,8,0
2019,1,UA,SEA,SFO,0,18,0
2019,1,AA,LAX,SEA,0,8,0
2019,1,UA,ATL,SFO,8,0,0
2019,1,AA,ATL,SFO,15,0,0
2019,1,WN,MCO,DEN,3,0,0
2019,1,WN,SFO,LAX,7,11,0
2019,1,UA,LAX,DEN,9,15,0
2019,1,UA,DFW,ATL,0,9,0
2019,1,AA,LAX,MCO,18,0,0
2019,1,UA,SEA,ATL,4,11,0
2019,1,DL,JFK,MCO,0,1,0
2019,1,UA,SEA,LAX,13,2,0
2019,1,WN,MCO,SEA,12,0,0
2019,1,AA,DEN,ORD,1,7,0
2019,1,UA,JFK,LAX,9,0,0
2019,1,UA,ATL,JFK,19,0,0
2019,1,DL,SEA,JFK,4,0,0
2019,1,DL,SFO,LAX,7,2,0
2019,1,AA,DFW,ATL,15,18,0
2019,1,UA,JFK,LAX,8,4,0
2019,1,AA,MCO,ORD,16,0,0
2019,1,DL,MCO,DFW,12,7,0
2019,1,WN,ORD,SEA,9,16,0
2019,1,UA,LAX,DFW,3,14,0
2019,1,AA,SEA,ORD,0,16,0
2019,1,AA,SFO,SEA,6,0,0
2019,1,WN,SEA,ATL,15,0,0
2019,1,AA,JFK,DFW,0,3,0
2019,1,UA,JFK,LAX,5,14,0
2019,1,DL,DEN,SFO,3,5,0
2019,1,UA,JFK,SFO,6,0,0
2019,1,AA,SEA,DEN,0,9,0
2019,1,DL,LAX,ORD,14,15,0
2019,1,AA,LAX,JFK,0,15,0
2019,1,WN,ORD,JFK,30,11,0
2019,1,DL,SFO,ORD,0,19,0
2019,1,UA,JFK,LAX,10,0,0
2019,1,UA,SFO,ATL,5,0,0
2019,1,UA,JFK,ATL,6,12,0
2019,1,UA,SEA,ORD,1,5,0
2019,1,UA,DFW,ORD,3,3,0
2019,1,DL,MCO,JFK,1,14,0
2019,1,DL,JFK,MCO,5,6,0
2019,1,UA,ORD,LAX,7,17,0
2019,1,WN,DEN,ORD,13,3,0
2019,1,AA,ORD,SEA,11,6,0
