YEAR,MONTH,OP_UNIQUE_CARRIER,ORIGIN,DEST,flights,avg_arr_delay,avg_dep_delay
2019,1,AA,ATL,DEN,1,0.0,18.0
2019,1,AA,ATL,DFW,3,0.0,8.666666666666666
2019,1,AA,ATL,JFK,7,7.714285714285714,13.857142857142858
2019,1,AA,ATL,LAX,4,10.75,4.75
2019,1,AA,ATL,MCO,2,6.5,6.5
2019,1,AA,ATL,ORD,3,9.666666666666666,15.666666666666666
2019,1,AA,ATL,SEA,2,9.5,6.5
2019,1,AA,ATL,SFO,4,8.5,2.0
2019,1,AA,DEN,ATL,1,13.0,12.0
2019,1,AA,DEN,DFW,3,8.0,2.0
2019,1,AA,DEN,JFK,5,9.4,4.8
2019,1,AA,DEN,LAX,2,5.5,3.0
2019,1,AA,DEN,MCO,2,10.0,9.0
2019,1,AA,DEN,ORD,3,8.333333333333334,5.666666666666667
2019,1,AA,DEN,SFO,1,15.0,12.0
2019,1,AA,DFW,ATL,7,10.285714285714286,17.857142857142858
2019,1,AA,DFW,DEN,4,9.5,6.5
2019,1,AA,DFW,JFK,1,11.0,4.0
2019,1,AA,DFW,LAX,4,1.25,10.0
2019,1,AA,DFW,MCO,2,9.0,19.0
2019,1,AA,DFW,ORD,1,1.0,7.0
2019,1,AA,DFW,SEA,4,12.25,5.0
2019,1,AA,DFW,SFO,2,1.5,3.5
2019,1,AA,JFK,ATL,1,0.0,4.0
2019,1,AA,JFK,DEN,5,12.0,8.2
2019,1,AA,JFK,DFW,5,3.0,11.2
2019,1,AA,JFK,LAX,1,13.0,0.0
2019,1,AA,JFK,MCO,4,4.0,12.0
2019,1,AA,JFK,ORD,3,0.0,11.333333333333334
2019,1,AA,JFK,SEA,5,8.0,3.4
2019,1,AA,JFK,SFO,5,8.8,2.4
2019,1,AA,LAX,ATL,1,5.0,15.0
2019,1,AA,LAX,DEN,1,8.0,3.0
2019,1,AA,LAX,DFW,1,9.0,11.0
2019,1,AA,LAX,JFK,3,2.6666666666666665,8.666666666666666
2019,1,AA,LAX,MCO,4,13.5,6.5
2019,1,AA,LAX,ORD,1,19.0,5.0
2019,1,AA,LAX,SEA,4,0.0,5.25
2019,1,AA,LAX,SFO,2,3.0,6.0
2019,1,AA,MCO,ATL,1,27.0,0.0
2019,1,AA,MCO,DEN,4,7.25,9.0
2019,1,AA,MCO,DFW,2,0.0,5.0
2019,1,AA,MCO,JFK,4,3.25,9.25
2019,1,AA,MCO,ORD,3,6.666666666666667,3.3333333333333335
2019,1,AA,MCO,SEA,1,7.0,0.0
2019,1,AA,MCO,SFO,2,11.0,5.5
2019,1,AA,ORD,ATL,1,17.0,14.0
2019,1,AA,ORD,DFW,2,9.0,8.0
2019,1,AA,ORD,JFK,2,6.5,6.0
2019,1,AA,ORD,LAX,2,17.0,4.5
2019,1,AA,ORD,MCO,5,8.4,10.4
